#timestamp x y z q_x q_y q_z q_w
0.000000 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
0.000000 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
0.000000 0.001851039 0.002453621 0.003986548 0.000028191 -0.000097097 -0.000174341 1.000000000
0.000000 -0.001202907 0.002091408 0.000237471 0.000082242 0.000047544 -0.000053194 1.000000000
0.000000 0.005888979 0.003487846 0.004844875 0.000044930 -0.000223120 0.000174793 0.999999940
0.000000 0.004313427 0.002545425 -0.001188499 0.000129890 -0.000133634 -0.000117655 1.000000000
0.000000 0.001622012 0.003318026 0.002277063 0.000092964 -0.000090218 0.000078478 1.000000000
0.000000 0.002431768 0.001676362 -0.000533255 0.000107745 -0.000127990 -0.000216411 1.000000000
0.000000 0.002327058 -0.003818918 -0.008113104 -0.000048325 -0.000075247 -0.000155514 1.000000000
0.000000 0.000269826 -0.002813828 -0.004604359 -0.000011147 0.000011715 -0.000278194 1.000000000
0.000000 0.002124600 0.002363674 0.001753453 0.000029956 -0.000070763 0.000257766 1.000000000
0.000000 0.009931718 0.000219922 0.004162690 -0.000100828 -0.000311536 -0.000025762 0.999999940
0.000000 0.001701529 -0.000866492 0.002281985 -0.000052373 -0.000142558 -0.000139902 1.000000000
0.000000 0.005136135 -0.003821901 -0.007871330 -0.000064247 -0.000086002 -0.000120968 1.000000000
0.000000 0.002786130 -0.002398071 -0.002907348 -0.000119396 -0.000057506 0.000106796 1.000000000
0.000000 0.003343272 -0.002737212 -0.008307955 0.000004617 -0.000067971 -0.000229203 1.000000000
0.000000 0.001518546 -0.001933232 -0.001234992 -0.000131541 -0.000037901 0.000060988 1.000000000
0.000000 0.003076189 -0.005512674 -0.009502728 -0.000114415 -0.000038219 -0.000092440 1.000000000
0.000000 0.001902414 0.000577730 0.001188879 -0.000013097 -0.000095889 -0.000028475 1.000000000
0.000000 0.000341301 -0.000894786 -0.000065250 -0.000110868 -0.000059378 0.000126472 1.000000000
0.000000 0.007152302 -0.001905496 0.003805942 -0.000085684 -0.000239660 0.000042258 1.000000000
0.000000 0.003184269 -0.003463298 -0.006719446 -0.000121235 -0.000101266 -0.000235175 1.000000000
0.000000 0.008727171 -0.001980934 -0.009121233 0.000140563 -0.000262929 -0.000575323 0.999999821
0.000000 0.001069584 0.000135796 -0.008217156 0.000206408 -0.000178707 -0.000282363 0.999999940
0.000000 -0.001714791 -0.001364643 -0.013991410 0.000234474 -0.000089355 -0.000506937 0.999999881
0.000000 0.009104312 0.000079908 0.009011512 0.000468706 -0.000350910 0.000222093 0.999999821
0.000000 0.007816175 -0.010198697 -0.003351009 0.000477335 -0.000325432 -0.000148182 0.999999821
0.000000 -0.001542004 -0.003756277 0.009440051 0.000834053 -0.000094976 0.000488133 0.999999523
0.000000 -0.000309369 -0.001450268 0.012522328 0.001070322 -0.000155183 0.000326823 0.999999404
0.000000 0.005759211 0.003727050 0.035154715 0.001155096 -0.000256277 0.000425518 0.999999225
0.000000 0.003846617 0.001189918 0.041812487 0.001399563 -0.000291511 -0.000009295 0.999998987
0.000000 0.006325241 -0.003979210 0.045126952 0.001429526 -0.000069902 -0.000604951 0.999998808
0.000000 0.001833456 -0.002526529 0.082542934 0.001664177 -0.000108824 -0.000424191 0.999998569
0.000000 0.984773457 -0.136376649 -0.804235697 0.000436420 -0.007318960 0.003881613 0.999965608
0.000000 0.974813521 -0.135861784 -0.794252396 0.000425395 -0.006964871 0.003705685 0.999968827
0.000000 0.973381758 -0.140573397 -0.778625906 0.000054394 -0.006934916 0.003487726 0.999969900
0.000000 0.992044330 -0.118288338 -0.693174779 0.000352260 -0.007529770 0.003747880 0.999964595
0.000000 0.987653553 -0.120790742 -0.674663842 0.000201737 -0.007267223 0.004233157 0.999964654
0.000000 0.998486638 -0.112405241 -0.637392998 0.000638139 -0.007515527 0.004165321 0.999962926
0.000000 0.976692319 -0.090757191 -0.565844417 0.001273394 -0.007276075 0.004263254 0.999963701
0.000000 0.996930003 -0.096360199 -0.530495882 0.001131733 -0.007696948 0.004158156 0.999961078
0.000000 0.980160475 -0.094236851 -0.495695174 0.001091370 -0.007359902 0.003828897 0.999965072
0.000000 0.975297451 -0.099640995 -0.422714263 0.000862625 -0.007519736 0.003940181 0.999963582
0.000000 0.981010675 -0.088503323 -0.322931796 0.001183669 -0.007921858 0.003994520 0.999959946
0.000000 0.993946731 -0.073810957 -0.236763611 0.001145059 -0.008227991 0.003664698 0.999958813
0.000000 0.987086892 -0.075873286 -0.183084384 0.000933659 -0.008070825 0.003813248 0.999959707
0.000000 0.978834152 -0.059463963 -0.119274609 0.000988514 -0.007971206 0.004474530 0.999957800
